Latitude,Longitude,DiffLogCond,SyntheticLogCond,ModelLogCond
-33.00562,140.431657,4.792521109665482,-7.3103650832236795,-2.5178439735581977
-33.157953,140.420274,4.815106960243373,-7.338575047342218,-2.523468087098845
-33.310278,140.408805,4.875040781145793,-7.4057051278097745,-2.5306643466639818
-33.462597,140.397249,4.783086439964718,-7.315240416701628,-2.5321539767369097
-33.614908,140.385606,4.495915463928687,-7.014580254057681,-2.5186647901289945
-33.767211,140.373876,4.204802466164934,-6.688684611238298,-2.4838821450733635
-33.919507,140.362056,4.07174954949298,-6.500176632172116,-2.428427082679137
-34.071796,140.350148,4.205918819842275,-6.5660183516835735,-2.3600995318412985
-34.224078,140.33815,4.359493777245865,-6.649889044741691,-2.2903952674958266
-34.376352,140.326062,4.401199343807528,-6.630181028617415,-2.2289816848098876
-34.528618,140.313882,4.242883616778663,-6.423354607959957,-2.1804709911812945
-34.680877,140.301611,3.93149833199512,-6.073390944348949,-2.141892612353829
-34.833128,140.289247,3.751343309433738,-5.858674766917706,-2.107331457483968
-34.985371,140.276791,3.714119543366071,-5.786915903649092,-2.072796360283021
-35.137607,140.26424,3.7837011763616024,-5.826565960951852,-2.0428647845902494
-35.289834,140.251595,3.8637607489554817,-5.89527307578878,-2.0315123268332984
-35.442054,140.238855,3.6899239977128886,-5.748327838865636,-2.0584038411527477
-35.594267,140.226019,3.4480679108950927,-5.5884144348933456,-2.140346523998253
-35.746471,140.213087,3.1562911880247255,-5.437874620482735,-2.2815834324580098
-35.898667,140.200057,3.008152230379925,-5.477085959386178,-2.4689337290062534
-36.050856,140.186929,2.8595292578690024,-5.531565144282131,-2.6720358864131284
-36.203036,140.173702,2.7876690092654566,-5.640323627757328,-2.8526546184918717
-36.355208,140.160376,2.620208793956485,-5.596745913411259,-2.976537119454774
-36.507372,140.146949,2.458968406861155,-5.4829869420224115,-3.0240185351612565
-36.659528,140.133421,2.4097561018532665,-5.404259984024378,-2.9945038821711116
-36.811676,140.119792,2.4251914060385475,-5.327637886880627,-2.9024464808420793
-36.963815,140.106059,2.472889705108861,-5.244504973277586,-2.7716152681687247
-37.115946,140.092224,2.5433555802249104,-5.168049025165765,-2.624693444940855
-37.268069,140.078283,2.706899508139165,-5.186725342751552,-2.4798258346123867
-37.420183,140.064238,2.885647247815532,-5.232157705318078,-2.3465104575025455
